brand,product_links
sulwhasoo,https://www.sephora.com/product/first-care-activating-mask-P450631?icid2=products
sulwhasoo,https://www.sephora.com/product/essential-balancing-emulsion-P448923?icid2=products
summer-fridays,https://www.sephora.com/product/cc-me-vitamin-c-serum-P449180?icid2=products
summer-fridays,https://www.sephora.com/product/summer-fridays-cloud-dew-oil-free-gel-cream-P466153?icid2=products
summer-fridays,https://www.sephora.com/product/summer-fridays-lip-butter-balm-P455936?icid2=products
summer-fridays,https://www.sephora.com/product/summer-fridays-summer-skin-nourishing-body-lotion-P469189?icid2=products
summer-fridays,https://www.sephora.com/product/overtime-mask-P436387?icid2=products
summer-fridays,https://www.sephora.com/product/summer-fridays-soft-reset-aha-exfoliating-solution-P462745?icid2=products
summer-fridays,https://www.sephora.com/product/summer-fridays-super-amino-gel-cleanser-P455242?icid2=products
summer-fridays,https://www.sephora.com/product/r-r-mask-P440504?icid2=products
sunday-riley,https://www.sephora.com/product/good-genes-all-in-one-lactic-acid-treatment-P309308?icid2=products
sunday-riley,https://www.sephora.com/product/c-e-o-rapid-flash-brightening-serum-P418346?icid2=products
sunday-riley,https://www.sephora.com/product/sunday-riley-go-to-bed-with-me-evening-routine-kit-P463966?icid2=products
sunday-riley,https://www.sephora.com/product/luna-sleeping-night-oil-P393718?skuId=1681881&icid2=products
sunday-riley,https://www.sephora.com/product/a-high-dose-retinoid-serum-P440075?icid2=products
sunday-riley,https://www.sephora.com/product/sunday-riley-wake-up-with-me-morning-routine-kit-P463965?icid2=products
sunday-riley,https://www.sephora.com/product/c-e-o-glow-vitamin-c-turmeric-face-oil-P442761?icid2=products
sunday-riley,https://www.sephora.com/product/sunday-riley-good-genes-win-win-duo-P457284?icid2=products
sunday-riley,https://www.sephora.com/product/tidal-brightening-enzyme-water-cream-P406938?icid2=products
sunday-riley,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?icid2=products
sunday-riley,https://www.sephora.com/product/c-e-o-c-e-antioxidant-protect-repair-moisturizer-P416139?icid2=products
sunday-riley,https://www.sephora.com/product/auto-correct-brightening-depuffing-eye-contour-cream-P424948?icid2=products
supergoop,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?icid2=products
supergoop,https://www.sephora.com/product/supergoop-glowscreen-sunscreen-spf-40-P456218?icid2=products
supergoop,https://www.sephora.com/product/supergoop-play-everyday-lotion-spf-50-with-sunflower-extract-P454383?icid2=products
supergoop,https://www.sephora.com/product/supergoop-daily-dose-vitamin-c-spf-40-P466154?icid2=products
supergoop,https://www.sephora.com/product/supergoop-mineral-sheerscreen-spf-30-pa-P470057?icid2=products
supergoop,https://www.sephora.com/product/supergoop-mini-unseen-sunscreen-spf-40-pa-P470255?icid2=products
supergoop,https://www.sephora.com/product/supergoop-re-setting-100-mineral-powder-spf-35-pa-P467976?skuId=2421600&icid2=products
supergoop,https://www.sephora.com/product/supergoop-jet-set-spf-from-head-to-toe-kit-P470254?icid2=products
supergoop,https://www.sephora.com/product/supergoop-glowscreen-body-spf-40-pa-P470058?icid2=products
supergoop,https://www.sephora.com/product/superscreen-daily-moisturizer-broad-spectrum-spf-40-pa-P439928?icid2=products
supergoop,https://www.sephora.com/product/supergoop-glow-oil-spf-50-P454387?skuId=2322782&icid2=products
supergoop,https://www.sephora.com/product/supergoop-cc-screen-100-mineral-cc-cream-spf-50-pa-P463353?icid2=products
surratt-beauty,https://www.sephora.com/product/lipslique-P394178?icid2=products
surratt-beauty,https://www.sephora.com/product/surreal-real-skin-foundation-wand-P407377?icid2=products
surratt-beauty,https://www.sephora.com/product/surreal-skin-concealer-P394166?icid2=products
surratt-beauty,https://www.sephora.com/product/lip-lustre-P394180?icid2=products
surratt-beauty,https://www.sephora.com/product/lid-lacquer-P432840?icid2=products
surratt-beauty,https://www.sephora.com/product/artistique-eyeshadow-P394175?skuId=1672682&icid2=products
surratt-beauty,https://www.sephora.com/product/la-baton-rouge-lipstick-P425734?icid2=products
surratt-beauty,https://www.sephora.com/product/perfectionniste-concealer-palette-P439024?skuId=2142180&icid2=products
surratt-beauty,https://www.sephora.com/product/prismatique-lips-P402704?icid2=products
surratt-beauty,https://www.sephora.com/product/smoky-eye-baton-P394174?skuId=1923176&icid2=products
surratt-beauty,https://www.sephora.com/product/automatique-lip-crayon-P394179?icid2=products
surratt-beauty,https://www.sephora.com/product/artistique-brush-applicator-P432839?icid2=products
t3,https://www.sephora.com/product/t3-lucea-1-hair-straightener-P458506?icid2=products
t3,https://www.sephora.com/product/singlepass-curl-1-professional-curling-iron-P445425?icid2=products
t3,https://www.sephora.com/product/t3-lucea-id-1-smart-flat-iron-with-touch-interface-P463354?icid2=products
t3,https://www.sephora.com/product/t3-fit-hair-dryer-P469539?icid2=products
t3,https://www.sephora.com/product/twirl-trio-P429717?icid2=products
t3,https://www.sephora.com/product/whirl-trio-interchangeable-styling-wand-P388707?icid2=products
t3,https://www.sephora.com/product/smooth-paddle-brush-P445441?icid2=products
t3,https://www.sephora.com/product/bodywaver-P422239?icid2=products
t3,https://www.sephora.com/product/singlepass-curl-1-25-professional-curling-iron-P428229?icid2=products
t3,https://www.sephora.com/product/t3-curl-id-1-25-smart-curling-iron-with-interactive-touch-interface-P463355?icid2=products
t3,https://www.sephora.com/product/cura-hair-dryer-P427913?icid2=products
t3,https://www.sephora.com/product/singlepass-wave-1-25-0-75-professional-styling-wand-P428228?icid2=products
tan-luxe,https://www.sephora.com/product/the-face-illuminating-self-tan-drops-P424988?icid2=products
tan-luxe,https://www.sephora.com/product/the-body-illuminating-self-tan-drops-P424989?icid2=products
tan-luxe,https://www.sephora.com/product/the-gradual-illuminating-gradual-tan-lotion-P424990?icid2=products
tan-luxe,https://www.sephora.com/product/super-glow-hyaluronic-self-tan-serum-P447199?icid2=products
tan-luxe,https://www.sephora.com/product/the-water-hydrating-self-tan-water-P424985?icid2=products
tan-luxe,https://www.sephora.com/product/tan-luxe-super-glow-body-hyaluronic-self-tan-serum-P456989?icid2=products
tan-luxe,https://www.sephora.com/product/wonder-oil-illuminating-self-tan-oil-P433440?icid2=products
tan-luxe,https://www.sephora.com/product/hydra-mousse-hydrating-self-tan-mousse-P424984?icid2=products
tan-luxe,https://www.sephora.com/product/the-butter-illuminating-tanning-butter-P424986?icid2=products
tan-luxe,https://www.sephora.com/product/tan-luxe-super-gloss-face-P470545?icid2=products
tan-luxe,https://www.sephora.com/product/sleep-oil-rejuvenating-miracle-tanning-oil-P424987?icid2=products
tan-luxe,https://www.sephora.com/product/glyco-water-self-tan-eraser-P432665?icid2=products
tarte,https://www.sephora.com/product/creaseless-concealer-P433206?icid2=products
tarte,https://www.sephora.com/product/amazonian-clay-12-hour-full-coverage-foundation-spf-15-P302918?icid2=products
tarte,https://www.sephora.com/product/tartelette-in-bloom-clay-eyeshadow-palette-P403812?icid2=products
tarte,https://www.sephora.com/product/amazonian-clay-12-hour-blush-P278610?icid2=products
tarte,https://www.sephora.com/product/sea-water-foundation-broad-spectrum-spf-15-P405102?skuId=1779164&icid2=products
